id,label,followers,friends
58417326,Other_Graphs,7,8
61300604,Non_Conspiracy_Graphs,13,9
152674228,Other_Graphs,14,14
152677871,5G_Conspiracy_Graphs,12,13
152681462,5G_Conspiracy_Graphs,10,9
192259113,Other_Graphs,6,8
252132969,5G_Conspiracy_Graphs,11,11
298848587,5G_Conspiracy_Graphs,11,12
649692030,Non_Conspiracy_Graphs,9,8
787118757,5G_Conspiracy_Graphs,0,5
14456002,5G_Conspiracy_Graphs,9,10
14718557,5G_Conspiracy_Graphs,14,15
22289139,5G_Conspiracy_Graphs,9,11
26374683,Non_Conspiracy_Graphs,9,11
52450086,5G_Conspiracy_Graphs,12,12
58126441,5G_Conspiracy_Graphs,13,13
67664638,5G_Conspiracy_Graphs,9,11
90195448,Non_Conspiracy_Graphs,13,14
135803311,5G_Conspiracy_Graphs,13,13
152673388,5G_Conspiracy_Graphs,9,9
192263688,Other_Graphs,7,8
192297192,Other_Graphs,5,7
192300522,Other_Graphs,7,8
349550521,Non_Conspiracy_Graphs,8,8
555174191,5G_Conspiracy_Graphs,3,7
577685075,5G_Conspiracy_Graphs,6,8
582742692,5G_Conspiracy_Graphs,7,8
633972414,5G_Conspiracy_Graphs,7,8
644832101,5G_Conspiracy_Graphs,12,12
19021231,5G_Conspiracy_Graphs,14,14
27287995,5G_Conspiracy_Graphs,12,12
35011142,Non_Conspiracy_Graphs,13,13
38145120,Non_Conspiracy_Graphs,12,13
44775373,Non_Conspiracy_Graphs,5,10
49238154,5G_Conspiracy_Graphs,11,13
58098309,Other_Graphs,8,11
152432676,5G_Conspiracy_Graphs,5,9
152511165,5G_Conspiracy_Graphs,9,9
152668721,5G_Conspiracy_Graphs,11,12
152927767,5G_Conspiracy_Graphs,10,9
192259555,Other_Graphs,6,8
192304709,Other_Graphs,7,8
347869430,Non_Conspiracy_Graphs,6,7
695084077,5G_Conspiracy_Graphs,7,8
802083654,5G_Conspiracy_Graphs,8,7
806053232,5G_Conspiracy_Graphs,8,8
27500083,Non_Conspiracy_Graphs,15,15
36026186,5G_Conspiracy_Graphs,10,10
49485514,5G_Conspiracy_Graphs,8,9
57227715,Non_Conspiracy_Graphs,7,11
57579598,Other_Graphs,8,10
62294035,Non_Conspiracy_Graphs,14,13
152845060,5G_Conspiracy_Graphs,6,9
192277919,Other_Graphs,10,12
601659284,Other_Graphs,8,9
834168365,5G_Conspiracy_Graphs,1,5
836563727,5G_Conspiracy_Graphs,7,7
10285276,5G_Conspiracy_Graphs,12,13
57848980,5G_Conspiracy_Graphs,13,13
57993876,5G_Conspiracy_Graphs,10,12
67164109,Non_Conspiracy_Graphs,14,14
67498733,5G_Conspiracy_Graphs,14,14
82653598,5G_Conspiracy_Graphs,13,13
152785290,5G_Conspiracy_Graphs,10,13
152888745,5G_Conspiracy_Graphs,12,12
152932873,5G_Conspiracy_Graphs,10,10
152954676,5G_Conspiracy_Graphs,11,12
192262498,Other_Graphs,11,10
192270939,Other_Graphs,3,7
364389589,5G_Conspiracy_Graphs,10,10
421455363,5G_Conspiracy_Graphs,10,9
553163859,5G_Conspiracy_Graphs,6,8
645461966,Non_Conspiracy_Graphs,9,9
31639677,Other_Graphs,10,11
34612904,Non_Conspiracy_Graphs,14,14
49050431,Non_Conspiracy_Graphs,10,9
49201252,Non_Conspiracy_Graphs,8,11
60942144,Non_Conspiracy_Graphs,15,10
72059043,5G_Conspiracy_Graphs,14,12
73216727,Non_Conspiracy_Graphs,14,14
77061268,5G_Conspiracy_Graphs,14,14
82064648,5G_Conspiracy_Graphs,12,13
96643641,5G_Conspiracy_Graphs,9,9
134608966,Non_Conspiracy_Graphs,9,12
192308594,Other_Graphs,7,9
192311870,Other_Graphs,10,11
226096340,5G_Conspiracy_Graphs,12,10
582447402,5G_Conspiracy_Graphs,11,8
670264795,Non_Conspiracy_Graphs,8,8
10930230,5G_Conspiracy_Graphs,14,14
18149784,Non_Conspiracy_Graphs,13,13
20502551,Non_Conspiracy_Graphs,15,11
31165182,5G_Conspiracy_Graphs,10,9
44148160,Non_Conspiracy_Graphs,8,9
44758293,5G_Conspiracy_Graphs,12,13
49064686,Non_Conspiracy_Graphs,9,11
57462707,Other_Graphs,11,13
57662027,5G_Conspiracy_Graphs,2,5
61277903,Non_Conspiracy_Graphs,15,11
65428475,Non_Conspiracy_Graphs,11,11
139612518,Non_Conspiracy_Graphs,7,9
147874145,5G_Conspiracy_Graphs,8,10
152524681,5G_Conspiracy_Graphs,7,6
152566403,5G_Conspiracy_Graphs,9,10
152812551,5G_Conspiracy_Graphs,12,12
152849206,5G_Conspiracy_Graphs,10,10
152919573,5G_Conspiracy_Graphs,10,11
231444340,Non_Conspiracy_Graphs,13,13
633994983,5G_Conspiracy_Graphs,4,6
833533414,5G_Conspiracy_Graphs,6,6
